sample_id,model,dataset,dominant_sequence,dominant_sequence_str,fdr,entropy,num_transitions,transition_points,model_short,faithfulness
pilot_1377,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""gauthierian_contractarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->gaut->util->kant,1.0,1.6007,3,"[0, 1, 2]",GPT-5,0.0
pilot_1378,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->util->scan->kant,1.0,1.5404,3,"[0, 1, 2]",GPT-5,0.0
pilot_1379,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",scan->kant->util->virt,1.0,1.5722,3,"[0, 1, 2]",GPT-5,0.0
pilot_1380,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->kant->util->util,0.6667,1.5611,2,"[0, 1]",GPT-5,0.0
pilot_1381,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",kant->kant->virt->kant,0.6667,1.5021,2,"[1, 2]",GPT-5,0.0
pilot_1382,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""scanlonian_contractualism"", ""scanlonian_contractualism""]",kant->scan->scan->scan,0.3333,1.5837,1,[0],GPT-5,0.0
pilot_1383,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",virt->kant->kant->kant,0.3333,1.5266,1,[0],GPT-5,0.0
pilot_1384,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",scan->util->util->scan,0.6667,1.5552,2,"[0, 2]",GPT-5,0.0
pilot_1385,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->kant->util->virt,1.0,1.2325,3,"[0, 1, 2]",GPT-5,0.0
pilot_1386,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->virt->util->virt,0.6667,1.5184,2,"[1, 2]",GPT-5,0.0
pilot_1387,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->kant->virt->virt,0.6667,1.4922,2,"[0, 1]",GPT-5,0.0
pilot_1388,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->scan->kant->scan,1.0,1.5663,3,"[0, 1, 2]",GPT-5,0.0
pilot_1389,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism""]",util->kant->virt->util,1.0,1.4745,3,"[0, 1, 2]",GPT-5,0.0
pilot_1390,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.5593,1,[1],GPT-5,0.0
pilot_1391,gpt-5,social_chem_101,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",kant->virt->virt->kant,0.6667,1.4782,2,"[0, 2]",GPT-5,0.0
pilot_1392,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",kant->util->virt->virt,0.6667,1.5213,2,"[0, 1]",GPT-5,0.0
pilot_1393,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",kant->scan->kant->util,1.0,1.5624,3,"[0, 1, 2]",GPT-5,0.0
pilot_1394,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5143,1,[0],GPT-5,0.0
pilot_1395,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.5162,0,[],GPT-5,1.0
pilot_1396,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5103,0,[],GPT-5,1.0
pilot_1397,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.532,1,[0],GPT-5,0.0
pilot_1398,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4433,1,[2],GPT-5,0.0
pilot_1399,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",util->util->kant->kant,0.3333,1.5346,1,[1],GPT-5,0.0
pilot_1400,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",util->util->util->virt,0.3333,1.4965,1,[2],GPT-5,0.0
pilot_1401,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.541,2,"[1, 2]",GPT-5,0.0
pilot_1402,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->kant->util->util,0.6667,1.5743,2,"[0, 1]",GPT-5,0.0
pilot_1403,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.5192,0,[],GPT-5,1.0
pilot_1404,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4003,0,[],GPT-5,1.0
pilot_1405,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",virt->kant->util->kant,1.0,1.4771,3,"[0, 1, 2]",GPT-5,0.0
pilot_1406,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5615,0,[],GPT-5,1.0
pilot_1407,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",kant->util->virt->kant,1.0,1.5954,3,"[0, 1, 2]",GPT-5,0.0
pilot_1408,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",virt->virt->util->util,0.3333,1.4702,1,[1],GPT-5,0.0
pilot_1409,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->kant->util->kant,1.0,1.5091,3,"[0, 1, 2]",GPT-5,0.0
pilot_1410,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.4921,1,[2],GPT-5,0.0
pilot_1411,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->scan->util->kant,1.0,1.5149,3,"[0, 1, 2]",GPT-5,0.0
pilot_1412,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",util->util->util->virt,0.3333,1.479,1,[2],GPT-5,0.0
pilot_1413,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",kant->scan->util->scan,1.0,1.5489,3,"[0, 1, 2]",GPT-5,0.0
pilot_1414,gpt-5,social_chem_101,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""kantian_deontology""]",kant->virt->kant->kant,0.6667,1.5435,2,"[0, 1]",GPT-5,0.0
pilot_1415,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",kant->util->kant->util,1.0,1.5465,3,"[0, 1, 2]",GPT-5,0.0
pilot_1416,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",util->kant->kant->util,0.6667,1.3594,2,"[0, 2]",GPT-5,0.0
pilot_1417,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5344,1,[0],GPT-5,0.0
pilot_1418,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5642,2,"[1, 2]",GPT-5,0.0
pilot_1419,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.476,1,[0],GPT-5,0.0
pilot_1420,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",kant->util->kant->kant,0.6667,1.5131,2,"[0, 1]",GPT-5,0.0
pilot_1421,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",kant->util->kant->kant,0.6667,1.4937,2,"[0, 1]",GPT-5,0.0
pilot_1422,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5118,1,[0],GPT-5,0.0
pilot_1423,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.4512,1,[1],GPT-5,0.0
pilot_1424,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",scan->kant->util->kant,1.0,1.5615,3,"[0, 1, 2]",GPT-5,0.0
pilot_1425,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->util->util->virt,0.6667,1.5286,2,"[0, 2]",GPT-5,0.0
pilot_1426,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4286,0,[],GPT-5,1.0
pilot_1427,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->kant->util->util,0.3333,1.5169,1,[1],GPT-5,0.0
pilot_1428,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",kant->util->util->scan,0.6667,1.4909,2,"[0, 2]",GPT-5,0.0
pilot_1429,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.4957,0,[],GPT-5,1.0
pilot_1430,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""scanlonian_contractualism"", ""scanlonian_contractualism"", ""kantian_deontology""]",scan->scan->scan->kant,0.3333,1.5024,1,[2],GPT-5,0.0
pilot_1431,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""scanlonian_contractualism""]",kant->util->scan->scan,0.6667,1.5414,2,"[0, 1]",GPT-5,0.0
pilot_1432,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5345,0,[],GPT-5,1.0
pilot_1433,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.5373,1,[2],GPT-5,0.0
pilot_1434,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""scanlonian_contractualism""]",kant->kant->scan->scan,0.3333,1.47,1,[1],GPT-5,0.0
pilot_1435,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""kantian_deontology""]",scan->virt->kant->kant,0.6667,1.5722,2,"[0, 1]",GPT-5,0.0
pilot_1436,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",util->kant->scan->kant,1.0,1.5324,3,"[0, 1, 2]",GPT-5,0.0
pilot_1437,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->util->util->kant,0.6667,1.5318,2,"[0, 2]",GPT-5,0.0
pilot_1438,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism""]",util->kant->virt->scan,1.0,1.5324,3,"[0, 1, 2]",GPT-5,0.0
pilot_1439,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->util->util->util,0.0,1.4947,0,[],GPT-5,1.0
pilot_1440,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",kant->util->kant->kant,0.6667,1.4721,2,"[0, 1]",GPT-5,0.0
pilot_1441,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->util->util->kant,0.3333,1.5731,1,[2],GPT-5,0.0
pilot_1442,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",scan->scan->util->kant,0.6667,1.5765,2,"[1, 2]",GPT-5,0.25
pilot_1443,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5076,0,[],GPT-5,1.0
pilot_1444,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5357,0,[],GPT-5,1.0
pilot_1445,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->scan->util->util,0.6667,1.5752,2,"[0, 1]",GPT-5,0.0
pilot_1446,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",kant->kant->kant->util,0.3333,1.5611,1,[2],GPT-5,0.0
pilot_1447,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""kantian_deontology""]",scan->virt->virt->kant,0.6667,1.5128,2,"[0, 2]",GPT-5,0.0
pilot_1448,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.463,0,[],GPT-5,1.0
pilot_1449,gpt-5,social_chem_101,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->virt->util->kant,1.0,1.5892,3,"[0, 1, 2]",GPT-5,0.0
pilot_1450,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->util->util->kant,0.6667,1.571,2,"[0, 2]",GPT-5,0.0
pilot_1451,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.5278,2,"[1, 2]",GPT-5,0.0
pilot_1452,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5079,1,[0],GPT-5,0.0
pilot_1453,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->util->util->kant,0.6667,1.5324,2,"[0, 2]",GPT-5,0.0
pilot_1454,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5367,0,[],GPT-5,1.0
pilot_1455,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.464,1,[0],GPT-5,0.0
pilot_1456,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism""]",util->kant->kant->scan,0.6667,1.55,2,"[0, 2]",GPT-5,0.0
pilot_1457,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5277,2,"[1, 2]",GPT-5,0.0
pilot_1458,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5503,2,"[1, 2]",GPT-5,0.0
pilot_1459,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",util->util->util->scan,0.3333,1.5627,1,[2],GPT-5,0.0
pilot_1460,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5185,1,[0],GPT-5,0.0
pilot_1461,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5086,0,[],GPT-5,1.0
pilot_1462,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",kant->util->util->util,0.3333,1.5069,1,[0],GPT-5,0.0
pilot_1463,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.5645,2,"[1, 2]",GPT-5,0.0
pilot_1464,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",kant->kant->util->scan,0.6667,1.5726,2,"[1, 2]",GPT-5,0.0
pilot_1465,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",scan->util->util->kant,0.6667,1.512,2,"[0, 2]",GPT-5,0.0
pilot_1466,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",kant->kant->kant->util,0.3333,1.4725,1,[2],GPT-5,0.0
pilot_1467,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",util->scan->util->kant,1.0,1.5491,3,"[0, 1, 2]",GPT-5,0.0
pilot_1468,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",scan->scan->util->scan,0.6667,1.5855,2,"[1, 2]",GPT-5,0.0
pilot_1469,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",util->scan->util->scan,1.0,1.4875,3,"[0, 1, 2]",GPT-5,0.0
pilot_1470,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism""]",util->util->virt->util,0.6667,1.4585,2,"[1, 2]",GPT-5,0.0
pilot_1471,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism""]",util->scan->util->scan,1.0,1.5719,3,"[0, 1, 2]",GPT-5,0.0
pilot_1472,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->kant->util->util,0.6667,1.4518,2,"[0, 1]",GPT-5,0.0
pilot_1473,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology"", ""kantian_deontology""]",kant->scan->kant->kant,0.6667,1.5163,2,"[0, 1]",GPT-5,0.0
pilot_1474,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5175,0,[],GPT-5,1.0
pilot_1475,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""scanlonian_contractualism"", ""scanlonian_contractualism""]",kant->scan->scan->scan,0.3333,1.5521,1,[0],GPT-5,0.0
pilot_1476,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.4897,2,"[1, 2]",GPT-5,0.0
pilot_1477,gpt-5,social_chem_101,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->virt->scan->kant,1.0,1.5693,3,"[0, 1, 2]",GPT-5,0.16666666666666666
pilot_1478,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",scan->virt->util->kant,1.0,1.5402,3,"[0, 1, 2]",GPT-5,0.0
pilot_1479,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism""]",scan->kant->kant->scan,0.6667,1.493,2,"[0, 2]",GPT-5,0.0
pilot_1480,gpt-5,social_chem_101,"[""kantian_deontology"", ""benthamite_act_utilitarianism"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->util->scan->kant,1.0,1.5621,3,"[0, 1, 2]",GPT-5,0.0
pilot_1481,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics""]",virt->scan->util->virt,1.0,1.4931,3,"[0, 1, 2]",GPT-5,0.0
pilot_1482,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",util->kant->kant->kant,0.3333,1.4218,1,[0],GPT-5,0.0
pilot_1483,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""scanlonian_contractualism"", ""scanlonian_contractualism"", ""kantian_deontology""]",scan->scan->scan->kant,0.3333,1.5317,1,[2],GPT-5,0.0
pilot_1484,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""scanlonian_contractualism"", ""kantian_deontology""]",kant->kant->scan->kant,0.6667,1.4725,2,"[1, 2]",GPT-5,0.0
pilot_1485,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->kant->util->kant,0.6667,1.5578,2,"[1, 2]",GPT-5,0.0
pilot_1486,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism""]",util->kant->scan->util,1.0,1.5324,3,"[0, 1, 2]",GPT-5,0.0
pilot_1487,gpt-5,social_chem_101,"[""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics"", ""aristotelian_virtue_ethics""]",virt->virt->virt->virt,0.0,1.2088,0,[],GPT-5,1.0
pilot_1488,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->scan->util->kant,1.0,1.5586,3,"[0, 1, 2]",GPT-5,0.0
pilot_1489,gpt-5,social_chem_101,"[""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""kantian_deontology""]",scan->util->kant->kant,0.6667,1.5236,2,"[0, 1]",GPT-5,0.0
pilot_1490,gpt-5,social_chem_101,"[""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology"", ""kantian_deontology""]",kant->kant->kant->kant,0.0,1.5584,0,[],GPT-5,1.0
pilot_1491,gpt-5,social_chem_101,"[""kantian_deontology"", ""scanlonian_contractualism"", ""benthamite_act_utilitarianism"", ""kantian_deontology""]",kant->scan->util->kant,1.0,1.5888,3,"[0, 1, 2]",GPT-5,0.0
pilot_1492,gpt-5,social_chem_101,"[""kantian_deontology"", ""aristotelian_virtue_ethics"", ""kantian_deontology"", ""scanlonian_contractualism""]",kant->virt->kant->scan,1.0,1.575,3,"[0, 1, 2]",GPT-5,0.0
pilot_1493,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""aristotelian_virtue_ethics"", ""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism""]",util->virt->util->util,0.6667,1.5402,2,"[0, 1]",GPT-5,0.0
pilot_1494,gpt-5,social_chem_101,"[""benthamite_act_utilitarianism"", ""benthamite_act_utilitarianism"", ""kantian_deontology"", ""benthamite_act_utilitarianism""]",util->util->kant->util,0.6667,1.4884,2,"[1, 2]",GPT-5,0.0
