model,dataset,sample_id,num_steps
gpt-5,ethics,pilot_0003,5
gpt-5,ethics,pilot_0004,6
gpt-5,ethics,pilot_0005,5
gpt-5,ethics,pilot_0006,6
gpt-5,ethics,pilot_0007,4
gpt-5,ethics,pilot_0008,6
gpt-5,ethics,pilot_0009,6
gpt-5,ethics,pilot_0010,5
gpt-5,ethics,pilot_0011,5
gpt-5,ethics,pilot_0012,6
gpt-5,ethics,pilot_0013,6
gpt-5,ethics,pilot_0014,5
gpt-5,ethics,pilot_0015,5
gpt-5,ethics,pilot_0016,6
gpt-5,ethics,pilot_0017,5
gpt-5,ethics,pilot_0018,6
gpt-5,ethics,pilot_0019,5
gpt-5,ethics,pilot_0020,6
gpt-5,ethics,pilot_0021,6
gpt-5,ethics,pilot_0022,4
gpt-5,ethics,pilot_0023,5
gpt-5,ethics,pilot_0024,6
gpt-5,ethics,pilot_0025,7
gpt-5,ethics,pilot_0026,5
gpt-5,ethics,pilot_0027,5
gpt-5,ethics,pilot_0028,7
gpt-5,ethics,pilot_0029,5
gpt-5,ethics,pilot_0030,5
gpt-5,ethics,pilot_0031,4
gpt-5,ethics,pilot_0032,5
gpt-5,ethics,pilot_0033,5
gpt-5,ethics,pilot_0034,5
gpt-5,ethics,pilot_0035,5
gpt-5,ethics,pilot_0036,6
gpt-5,ethics,pilot_0037,5
gpt-5,ethics,pilot_0038,5
gpt-5,ethics,pilot_0039,6
gpt-5,ethics,pilot_0040,6
gpt-5,ethics,pilot_0041,5
gpt-5,ethics,pilot_0042,7
gpt-5,ethics,pilot_0043,5
gpt-5,ethics,pilot_0044,5
gpt-5,ethics,pilot_0045,7
gpt-5,ethics,pilot_0046,5
gpt-5,ethics,pilot_0047,5
gpt-5,ethics,pilot_0048,4
gpt-5,ethics,pilot_0049,4
gpt-5,ethics,pilot_0050,6
gpt-5,ethics,pilot_0051,6
gpt-5,ethics,pilot_0052,5
gpt-5,ethics,pilot_0053,5
gpt-5,ethics,pilot_0054,7
gpt-5,ethics,pilot_0055,7
gpt-5,ethics,pilot_0056,4
gpt-5,ethics,pilot_0057,4
gpt-5,ethics,pilot_0058,5
gpt-5,ethics,pilot_0059,5
gpt-5,ethics,pilot_0060,5
gpt-5,ethics,pilot_0061,6
gpt-5,ethics,pilot_0062,5
gpt-5,ethics,pilot_0063,5
gpt-5,ethics,pilot_0064,6
gpt-5,ethics,pilot_0065,6
gpt-5,ethics,pilot_0066,5
gpt-5,ethics,pilot_0067,5
gpt-5,ethics,pilot_0068,6
gpt-5,ethics,pilot_0069,5
gpt-5,ethics,pilot_0070,5
gpt-5,ethics,pilot_0071,6
gpt-5,ethics,pilot_0072,5
gpt-5,ethics,pilot_0073,5
gpt-5,ethics,pilot_0074,5
gpt-5,ethics,pilot_0075,7
gpt-5,ethics,pilot_0076,5
gpt-5,ethics,pilot_0077,5
gpt-5,ethics,pilot_0078,5
gpt-5,ethics,pilot_0079,5
gpt-5,ethics,pilot_0080,5
gpt-5,ethics,pilot_0081,7
gpt-5,ethics,pilot_0082,4
gpt-5,ethics,pilot_0083,5
gpt-5,ethics,pilot_0084,5
gpt-5,ethics,pilot_0085,6
gpt-5,ethics,pilot_0086,5
gpt-5,ethics,pilot_0087,5
gpt-5,ethics,pilot_0088,5
gpt-5,ethics,pilot_0089,5
gpt-5,ethics,pilot_0090,5
gpt-5,ethics,pilot_0091,5
gpt-5,ethics,pilot_0092,5
gpt-5,ethics,pilot_0093,5
gpt-5,ethics,pilot_0094,4
gpt-5,ethics,pilot_0095,5
gpt-5,ethics,pilot_0096,5
gpt-5,ethics,pilot_0097,4
gpt-5,ethics,pilot_0098,6
gpt-5,ethics,pilot_0099,5
gpt-5,moral_stories,pilot_0500,6
gpt-5,moral_stories,pilot_0501,5
gpt-5,moral_stories,pilot_0502,5
gpt-5,moral_stories,pilot_0503,6
gpt-5,moral_stories,pilot_0504,6
gpt-5,moral_stories,pilot_0505,4
gpt-5,moral_stories,pilot_0506,4
gpt-5,moral_stories,pilot_0507,6
gpt-5,moral_stories,pilot_0508,5
gpt-5,moral_stories,pilot_0509,5
gpt-5,moral_stories,pilot_0510,6
gpt-5,moral_stories,pilot_0511,4
gpt-5,moral_stories,pilot_0512,4
gpt-5,moral_stories,pilot_0513,5
gpt-5,moral_stories,pilot_0514,4
gpt-5,moral_stories,pilot_0515,5
gpt-5,moral_stories,pilot_0516,5
gpt-5,moral_stories,pilot_0517,5
gpt-5,moral_stories,pilot_0518,5
gpt-5,moral_stories,pilot_0519,5
gpt-5,moral_stories,pilot_0520,5
gpt-5,moral_stories,pilot_0521,5
gpt-5,moral_stories,pilot_0522,6
gpt-5,moral_stories,pilot_0523,5
gpt-5,moral_stories,pilot_0524,5
gpt-5,moral_stories,pilot_0525,5
gpt-5,moral_stories,pilot_0526,5
gpt-5,moral_stories,pilot_0527,6
gpt-5,moral_stories,pilot_0528,6
gpt-5,moral_stories,pilot_0529,5
gpt-5,moral_stories,pilot_0530,5
gpt-5,moral_stories,pilot_0531,5
gpt-5,moral_stories,pilot_0532,4
gpt-5,moral_stories,pilot_0533,5
gpt-5,moral_stories,pilot_0534,5
gpt-5,moral_stories,pilot_0535,6
gpt-5,moral_stories,pilot_0536,5
gpt-5,moral_stories,pilot_0537,5
gpt-5,moral_stories,pilot_0538,5
gpt-5,moral_stories,pilot_0539,5
gpt-5,moral_stories,pilot_0540,5
gpt-5,moral_stories,pilot_0541,5
gpt-5,moral_stories,pilot_0542,5
gpt-5,moral_stories,pilot_0543,4
gpt-5,moral_stories,pilot_0544,5
gpt-5,moral_stories,pilot_0545,6
gpt-5,moral_stories,pilot_0546,6
gpt-5,moral_stories,pilot_0547,4
gpt-5,moral_stories,pilot_0548,4
gpt-5,moral_stories,pilot_0549,4
gpt-5,moral_stories,pilot_0550,5
gpt-5,moral_stories,pilot_0551,5
gpt-5,moral_stories,pilot_0552,5
gpt-5,moral_stories,pilot_0553,5
gpt-5,moral_stories,pilot_0554,6
gpt-5,moral_stories,pilot_0555,6
gpt-5,moral_stories,pilot_0556,5
gpt-5,moral_stories,pilot_0557,5
gpt-5,moral_stories,pilot_0558,4
gpt-5,moral_stories,pilot_0559,5
gpt-5,moral_stories,pilot_0560,6
gpt-5,moral_stories,pilot_0561,4
gpt-5,moral_stories,pilot_0562,5
gpt-5,moral_stories,pilot_0563,5
gpt-5,moral_stories,pilot_0564,5
gpt-5,moral_stories,pilot_0565,4
gpt-5,moral_stories,pilot_0566,5
gpt-5,moral_stories,pilot_0567,5
gpt-5,moral_stories,pilot_0568,5
gpt-5,moral_stories,pilot_0569,4
gpt-5,moral_stories,pilot_0570,6
gpt-5,moral_stories,pilot_0571,5
gpt-5,moral_stories,pilot_0572,5
gpt-5,moral_stories,pilot_0573,5
gpt-5,moral_stories,pilot_0574,4
gpt-5,moral_stories,pilot_0575,4
gpt-5,moral_stories,pilot_0576,5
gpt-5,moral_stories,pilot_0577,5
gpt-5,moral_stories,pilot_0578,4
gpt-5,moral_stories,pilot_0579,5
gpt-5,moral_stories,pilot_0580,5
gpt-5,moral_stories,pilot_0581,5
gpt-5,moral_stories,pilot_0582,5
gpt-5,moral_stories,pilot_0583,5
gpt-5,moral_stories,pilot_0584,5
gpt-5,moral_stories,pilot_0585,5
gpt-5,moral_stories,pilot_0586,5
gpt-5,moral_stories,pilot_0587,5
gpt-5,moral_stories,pilot_0588,5
gpt-5,moral_stories,pilot_0589,6
gpt-5,moral_stories,pilot_0590,6
gpt-5,moral_stories,pilot_0591,5
gpt-5,moral_stories,pilot_0592,6
gpt-5,moral_stories,pilot_0593,5
gpt-5,moral_stories,pilot_0594,5
gpt-5,moral_stories,pilot_0595,5
gpt-5,moral_stories,pilot_0596,5
gpt-5,moral_stories,pilot_0597,4
gpt-5,moral_stories,pilot_0598,5
gpt-5,moral_stories,pilot_0599,5
gpt-5,social_chem_101,pilot_1000,5
gpt-5,social_chem_101,pilot_1001,5
gpt-5,social_chem_101,pilot_1002,5
gpt-5,social_chem_101,pilot_1003,5
gpt-5,social_chem_101,pilot_1004,5
gpt-5,social_chem_101,pilot_1005,4
gpt-5,social_chem_101,pilot_1006,5
gpt-5,social_chem_101,pilot_1007,5
gpt-5,social_chem_101,pilot_1008,6
gpt-5,social_chem_101,pilot_1009,5
gpt-5,social_chem_101,pilot_1010,5
gpt-5,social_chem_101,pilot_1011,5
gpt-5,social_chem_101,pilot_1012,5
gpt-5,social_chem_101,pilot_1013,6
gpt-5,social_chem_101,pilot_1014,4
gpt-5,social_chem_101,pilot_1015,5
gpt-5,social_chem_101,pilot_1016,6
gpt-5,social_chem_101,pilot_1017,6
gpt-5,social_chem_101,pilot_1018,5
gpt-5,social_chem_101,pilot_1019,5
gpt-5,social_chem_101,pilot_1020,5
gpt-5,social_chem_101,pilot_1021,5
gpt-5,social_chem_101,pilot_1022,5
gpt-5,social_chem_101,pilot_1023,6
gpt-5,social_chem_101,pilot_1024,5
gpt-5,social_chem_101,pilot_1025,6
gpt-5,social_chem_101,pilot_1026,5
gpt-5,social_chem_101,pilot_1027,5
gpt-5,social_chem_101,pilot_1028,5
gpt-5,social_chem_101,pilot_1029,4
gpt-5,social_chem_101,pilot_1030,5
gpt-5,social_chem_101,pilot_1031,5
gpt-5,social_chem_101,pilot_1032,5
gpt-5,social_chem_101,pilot_1033,4
gpt-5,social_chem_101,pilot_1034,5
gpt-5,social_chem_101,pilot_1035,5
gpt-5,social_chem_101,pilot_1036,5
gpt-5,social_chem_101,pilot_1037,5
gpt-5,social_chem_101,pilot_1038,5
gpt-5,social_chem_101,pilot_1039,7
gpt-5,social_chem_101,pilot_1040,5
gpt-5,social_chem_101,pilot_1041,5
gpt-5,social_chem_101,pilot_1042,5
gpt-5,social_chem_101,pilot_1043,4
gpt-5,social_chem_101,pilot_1044,5
gpt-5,social_chem_101,pilot_1045,6
gpt-5,social_chem_101,pilot_1046,5
gpt-5,social_chem_101,pilot_1047,5
gpt-5,social_chem_101,pilot_1048,5
gpt-5,social_chem_101,pilot_1049,5
gpt-5,social_chem_101,pilot_1050,6
gpt-5,social_chem_101,pilot_1051,5
gpt-5,social_chem_101,pilot_1052,5
gpt-5,social_chem_101,pilot_1053,5
gpt-5,social_chem_101,pilot_1054,5
gpt-5,social_chem_101,pilot_1055,4
gpt-5,social_chem_101,pilot_1056,5
gpt-5,social_chem_101,pilot_1057,5
gpt-5,social_chem_101,pilot_1058,5
gpt-5,social_chem_101,pilot_1059,5
gpt-5,social_chem_101,pilot_1060,5
gpt-5,social_chem_101,pilot_1061,5
gpt-5,social_chem_101,pilot_1062,5
gpt-5,social_chem_101,pilot_1063,6
gpt-5,social_chem_101,pilot_1064,5
gpt-5,social_chem_101,pilot_1065,5
gpt-5,social_chem_101,pilot_1066,5
gpt-5,social_chem_101,pilot_1067,5
gpt-5,social_chem_101,pilot_1068,6
gpt-5,social_chem_101,pilot_1069,5
gpt-5,social_chem_101,pilot_1070,5
gpt-5,social_chem_101,pilot_1071,4
gpt-5,social_chem_101,pilot_1072,5
gpt-5,social_chem_101,pilot_1073,5
gpt-5,social_chem_101,pilot_1074,6
gpt-5,social_chem_101,pilot_1075,5
gpt-5,social_chem_101,pilot_1076,5
gpt-5,social_chem_101,pilot_1077,5
gpt-5,social_chem_101,pilot_1078,8
gpt-5,social_chem_101,pilot_1079,5
gpt-5,social_chem_101,pilot_1080,5
gpt-5,social_chem_101,pilot_1081,5
gpt-5,social_chem_101,pilot_1082,5
gpt-5,social_chem_101,pilot_1083,5
gpt-5,social_chem_101,pilot_1084,5
gpt-5,social_chem_101,pilot_1085,5
gpt-5,social_chem_101,pilot_1086,4
gpt-5,social_chem_101,pilot_1087,4
gpt-5,social_chem_101,pilot_1088,6
gpt-5,social_chem_101,pilot_1089,5
gpt-5,social_chem_101,pilot_1090,7
gpt-5,social_chem_101,pilot_1091,5
gpt-5,social_chem_101,pilot_1092,5
gpt-5,social_chem_101,pilot_1093,5
gpt-5,social_chem_101,pilot_1094,5
gpt-5,social_chem_101,pilot_1095,5
gpt-5,social_chem_101,pilot_1096,5
gpt-5,social_chem_101,pilot_1097,5
gpt-5,social_chem_101,pilot_1098,5
gpt-5,social_chem_101,pilot_1099,6
gpt-5-mini,ethics,pilot_0000,5
gpt-5-mini,ethics,pilot_0001,5
gpt-5-mini,ethics,pilot_0002,5
gpt-5-mini,ethics,pilot_0003,5
gpt-5-mini,ethics,pilot_0004,5
gpt-5-mini,ethics,pilot_0005,4
gpt-5-mini,ethics,pilot_0006,5
gpt-5-mini,ethics,pilot_0007,4
gpt-5-mini,ethics,pilot_0008,4
gpt-5-mini,ethics,pilot_0009,4
gpt-5-mini,ethics,pilot_0010,5
gpt-5-mini,ethics,pilot_0011,5
gpt-5-mini,ethics,pilot_0012,4
gpt-5-mini,ethics,pilot_0013,5
gpt-5-mini,ethics,pilot_0014,5
gpt-5-mini,ethics,pilot_0015,5
gpt-5-mini,ethics,pilot_0016,4
gpt-5-mini,ethics,pilot_0017,4
gpt-5-mini,ethics,pilot_0018,5
gpt-5-mini,ethics,pilot_0019,4
gpt-5-mini,ethics,pilot_0020,5
gpt-5-mini,ethics,pilot_0021,5
gpt-5-mini,ethics,pilot_0022,4
gpt-5-mini,ethics,pilot_0023,4
gpt-5-mini,ethics,pilot_0024,5
gpt-5-mini,ethics,pilot_0025,5
gpt-5-mini,ethics,pilot_0026,5
gpt-5-mini,ethics,pilot_0027,5
gpt-5-mini,ethics,pilot_0028,5
gpt-5-mini,ethics,pilot_0029,4
gpt-5-mini,ethics,pilot_0030,4
gpt-5-mini,ethics,pilot_0031,4
gpt-5-mini,ethics,pilot_0032,5
gpt-5-mini,ethics,pilot_0033,4
gpt-5-mini,ethics,pilot_0034,4
gpt-5-mini,ethics,pilot_0035,5
gpt-5-mini,ethics,pilot_0036,5
gpt-5-mini,ethics,pilot_0037,5
gpt-5-mini,ethics,pilot_0038,5
gpt-5-mini,ethics,pilot_0039,5
gpt-5-mini,ethics,pilot_0040,5
gpt-5-mini,ethics,pilot_0041,4
gpt-5-mini,ethics,pilot_0042,4
gpt-5-mini,ethics,pilot_0043,4
gpt-5-mini,ethics,pilot_0044,4
gpt-5-mini,ethics,pilot_0045,5
gpt-5-mini,ethics,pilot_0046,4
gpt-5-mini,ethics,pilot_0047,5
gpt-5-mini,ethics,pilot_0048,4
gpt-5-mini,ethics,pilot_0049,5
gpt-5-mini,ethics,pilot_0050,4
gpt-5-mini,ethics,pilot_0051,5
gpt-5-mini,ethics,pilot_0052,5
gpt-5-mini,ethics,pilot_0053,5
gpt-5-mini,ethics,pilot_0054,5
gpt-5-mini,ethics,pilot_0055,4
gpt-5-mini,ethics,pilot_0056,5
gpt-5-mini,ethics,pilot_0057,4
gpt-5-mini,ethics,pilot_0058,5
gpt-5-mini,ethics,pilot_0059,5
gpt-5-mini,ethics,pilot_0060,4
gpt-5-mini,ethics,pilot_0061,5
gpt-5-mini,ethics,pilot_0062,5
gpt-5-mini,ethics,pilot_0063,5
gpt-5-mini,ethics,pilot_0064,5
gpt-5-mini,ethics,pilot_0065,4
gpt-5-mini,ethics,pilot_0066,5
gpt-5-mini,ethics,pilot_0067,5
gpt-5-mini,ethics,pilot_0068,5
gpt-5-mini,ethics,pilot_0069,5
gpt-5-mini,ethics,pilot_0070,4
gpt-5-mini,ethics,pilot_0071,5
gpt-5-mini,ethics,pilot_0072,5
gpt-5-mini,ethics,pilot_0073,5
gpt-5-mini,ethics,pilot_0074,5
gpt-5-mini,ethics,pilot_0075,5
gpt-5-mini,ethics,pilot_0076,5
gpt-5-mini,ethics,pilot_0077,5
gpt-5-mini,ethics,pilot_0078,4
gpt-5-mini,ethics,pilot_0079,4
gpt-5-mini,ethics,pilot_0080,4
gpt-5-mini,ethics,pilot_0081,5
gpt-5-mini,ethics,pilot_0082,4
gpt-5-mini,ethics,pilot_0083,5
gpt-5-mini,ethics,pilot_0084,4
gpt-5-mini,ethics,pilot_0085,5
gpt-5-mini,ethics,pilot_0086,4
gpt-5-mini,ethics,pilot_0087,5
gpt-5-mini,ethics,pilot_0088,5
gpt-5-mini,ethics,pilot_0089,4
gpt-5-mini,ethics,pilot_0090,4
gpt-5-mini,ethics,pilot_0091,5
gpt-5-mini,ethics,pilot_0092,4
gpt-5-mini,ethics,pilot_0093,5
gpt-5-mini,ethics,pilot_0094,4
gpt-5-mini,ethics,pilot_0095,4
gpt-5-mini,ethics,pilot_0096,5
gpt-5-mini,ethics,pilot_0097,5
gpt-5-mini,ethics,pilot_0098,5
gpt-5-mini,ethics,pilot_0099,5
gpt-5-mini,moral_stories,pilot_0500,4
gpt-5-mini,moral_stories,pilot_0501,4
gpt-5-mini,moral_stories,pilot_0502,5
gpt-5-mini,moral_stories,pilot_0503,5
gpt-5-mini,moral_stories,pilot_0504,4
gpt-5-mini,moral_stories,pilot_0505,5
gpt-5-mini,moral_stories,pilot_0506,4
gpt-5-mini,moral_stories,pilot_0507,5
gpt-5-mini,moral_stories,pilot_0508,5
gpt-5-mini,moral_stories,pilot_0509,5
gpt-5-mini,moral_stories,pilot_0510,4
gpt-5-mini,moral_stories,pilot_0511,5
gpt-5-mini,moral_stories,pilot_0512,4
gpt-5-mini,moral_stories,pilot_0513,4
gpt-5-mini,moral_stories,pilot_0514,5
gpt-5-mini,moral_stories,pilot_0515,5
gpt-5-mini,moral_stories,pilot_0516,4
gpt-5-mini,moral_stories,pilot_0517,5
gpt-5-mini,moral_stories,pilot_0518,5
gpt-5-mini,moral_stories,pilot_0519,5
gpt-5-mini,moral_stories,pilot_0520,5
gpt-5-mini,moral_stories,pilot_0521,4
gpt-5-mini,moral_stories,pilot_0522,5
gpt-5-mini,moral_stories,pilot_0523,4
gpt-5-mini,moral_stories,pilot_0524,4
gpt-5-mini,moral_stories,pilot_0525,5
gpt-5-mini,moral_stories,pilot_0526,4
gpt-5-mini,moral_stories,pilot_0527,4
gpt-5-mini,moral_stories,pilot_0528,4
gpt-5-mini,moral_stories,pilot_0529,5
gpt-5-mini,moral_stories,pilot_0530,5
gpt-5-mini,moral_stories,pilot_0531,4
gpt-5-mini,moral_stories,pilot_0532,4
gpt-5-mini,moral_stories,pilot_0533,4
gpt-5-mini,moral_stories,pilot_0534,5
gpt-5-mini,moral_stories,pilot_0535,5
gpt-5-mini,moral_stories,pilot_0536,4
gpt-5-mini,moral_stories,pilot_0537,4
gpt-5-mini,moral_stories,pilot_0538,4
gpt-5-mini,moral_stories,pilot_0539,5
gpt-5-mini,moral_stories,pilot_0540,5
gpt-5-mini,moral_stories,pilot_0541,5
gpt-5-mini,moral_stories,pilot_0542,5
gpt-5-mini,moral_stories,pilot_0543,4
gpt-5-mini,moral_stories,pilot_0544,5
gpt-5-mini,moral_stories,pilot_0545,5
gpt-5-mini,moral_stories,pilot_0546,5
gpt-5-mini,moral_stories,pilot_0547,4
gpt-5-mini,moral_stories,pilot_0548,5
gpt-5-mini,moral_stories,pilot_0549,4
gpt-5-mini,moral_stories,pilot_0550,4
gpt-5-mini,moral_stories,pilot_0551,4
gpt-5-mini,moral_stories,pilot_0552,5
gpt-5-mini,moral_stories,pilot_0553,5
gpt-5-mini,moral_stories,pilot_0554,5
gpt-5-mini,moral_stories,pilot_0555,4
gpt-5-mini,moral_stories,pilot_0556,4
gpt-5-mini,moral_stories,pilot_0557,5
gpt-5-mini,moral_stories,pilot_0558,5
gpt-5-mini,moral_stories,pilot_0559,5
gpt-5-mini,moral_stories,pilot_0560,5
gpt-5-mini,moral_stories,pilot_0561,5
gpt-5-mini,moral_stories,pilot_0562,5
gpt-5-mini,moral_stories,pilot_0563,5
gpt-5-mini,moral_stories,pilot_0564,4
gpt-5-mini,moral_stories,pilot_0565,4
gpt-5-mini,moral_stories,pilot_0566,5
gpt-5-mini,moral_stories,pilot_0567,5
gpt-5-mini,moral_stories,pilot_0568,5
gpt-5-mini,moral_stories,pilot_0569,5
gpt-5-mini,moral_stories,pilot_0570,5
gpt-5-mini,moral_stories,pilot_0571,5
gpt-5-mini,moral_stories,pilot_0572,4
gpt-5-mini,moral_stories,pilot_0573,5
gpt-5-mini,moral_stories,pilot_0574,4
gpt-5-mini,moral_stories,pilot_0575,5
gpt-5-mini,moral_stories,pilot_0576,5
gpt-5-mini,moral_stories,pilot_0577,5
gpt-5-mini,moral_stories,pilot_0578,4
gpt-5-mini,moral_stories,pilot_0579,4
gpt-5-mini,moral_stories,pilot_0580,4
gpt-5-mini,moral_stories,pilot_0581,4
gpt-5-mini,moral_stories,pilot_0582,5
gpt-5-mini,moral_stories,pilot_0583,4
gpt-5-mini,moral_stories,pilot_0584,5
gpt-5-mini,moral_stories,pilot_0585,5
gpt-5-mini,moral_stories,pilot_0586,4
gpt-5-mini,moral_stories,pilot_0587,4
gpt-5-mini,moral_stories,pilot_0588,5
gpt-5-mini,moral_stories,pilot_0589,4
gpt-5-mini,moral_stories,pilot_0590,5
gpt-5-mini,moral_stories,pilot_0591,4
gpt-5-mini,moral_stories,pilot_0592,5
gpt-5-mini,moral_stories,pilot_0593,5
gpt-5-mini,moral_stories,pilot_0594,5
gpt-5-mini,moral_stories,pilot_0595,5
gpt-5-mini,moral_stories,pilot_0596,4
gpt-5-mini,moral_stories,pilot_0597,5
gpt-5-mini,moral_stories,pilot_0598,5
gpt-5-mini,moral_stories,pilot_0599,5
gpt-5-mini,social_chem_101,pilot_1000,4
gpt-5-mini,social_chem_101,pilot_1001,4
gpt-5-mini,social_chem_101,pilot_1002,5
gpt-5-mini,social_chem_101,pilot_1003,5
gpt-5-mini,social_chem_101,pilot_1004,5
gpt-5-mini,social_chem_101,pilot_1005,5
gpt-5-mini,social_chem_101,pilot_1006,5
gpt-5-mini,social_chem_101,pilot_1007,5
gpt-5-mini,social_chem_101,pilot_1008,5
gpt-5-mini,social_chem_101,pilot_1009,5
gpt-5-mini,social_chem_101,pilot_1010,5
gpt-5-mini,social_chem_101,pilot_1011,5
gpt-5-mini,social_chem_101,pilot_1012,4
gpt-5-mini,social_chem_101,pilot_1013,4
gpt-5-mini,social_chem_101,pilot_1014,4
gpt-5-mini,social_chem_101,pilot_1015,4
gpt-5-mini,social_chem_101,pilot_1016,5
gpt-5-mini,social_chem_101,pilot_1017,5
gpt-5-mini,social_chem_101,pilot_1018,4
gpt-5-mini,social_chem_101,pilot_1019,5
gpt-5-mini,social_chem_101,pilot_1020,4
gpt-5-mini,social_chem_101,pilot_1021,4
gpt-5-mini,social_chem_101,pilot_1022,5
gpt-5-mini,social_chem_101,pilot_1023,5
gpt-5-mini,social_chem_101,pilot_1024,5
gpt-5-mini,social_chem_101,pilot_1025,4
gpt-5-mini,social_chem_101,pilot_1026,5
gpt-5-mini,social_chem_101,pilot_1027,5
gpt-5-mini,social_chem_101,pilot_1028,5
gpt-5-mini,social_chem_101,pilot_1029,4
gpt-5-mini,social_chem_101,pilot_1030,4
gpt-5-mini,social_chem_101,pilot_1031,5
gpt-5-mini,social_chem_101,pilot_1032,5
gpt-5-mini,social_chem_101,pilot_1033,4
gpt-5-mini,social_chem_101,pilot_1034,5
gpt-5-mini,social_chem_101,pilot_1035,5
gpt-5-mini,social_chem_101,pilot_1036,5
gpt-5-mini,social_chem_101,pilot_1037,4
gpt-5-mini,social_chem_101,pilot_1038,5
gpt-5-mini,social_chem_101,pilot_1039,4
gpt-5-mini,social_chem_101,pilot_1040,5
gpt-5-mini,social_chem_101,pilot_1041,5
gpt-5-mini,social_chem_101,pilot_1042,5
gpt-5-mini,social_chem_101,pilot_1043,4
gpt-5-mini,social_chem_101,pilot_1044,5
gpt-5-mini,social_chem_101,pilot_1045,5
gpt-5-mini,social_chem_101,pilot_1046,4
gpt-5-mini,social_chem_101,pilot_1047,5
gpt-5-mini,social_chem_101,pilot_1048,4
gpt-5-mini,social_chem_101,pilot_1049,4
gpt-5-mini,social_chem_101,pilot_1050,5
gpt-5-mini,social_chem_101,pilot_1051,4
gpt-5-mini,social_chem_101,pilot_1052,4
gpt-5-mini,social_chem_101,pilot_1053,4
gpt-5-mini,social_chem_101,pilot_1054,4
gpt-5-mini,social_chem_101,pilot_1055,4
gpt-5-mini,social_chem_101,pilot_1056,4
gpt-5-mini,social_chem_101,pilot_1057,5
gpt-5-mini,social_chem_101,pilot_1058,5
gpt-5-mini,social_chem_101,pilot_1059,5
gpt-5-mini,social_chem_101,pilot_1060,4
gpt-5-mini,social_chem_101,pilot_1061,5
gpt-5-mini,social_chem_101,pilot_1062,5
gpt-5-mini,social_chem_101,pilot_1063,5
gpt-5-mini,social_chem_101,pilot_1064,5
gpt-5-mini,social_chem_101,pilot_1065,5
gpt-5-mini,social_chem_101,pilot_1066,4
gpt-5-mini,social_chem_101,pilot_1067,5
gpt-5-mini,social_chem_101,pilot_1068,5
gpt-5-mini,social_chem_101,pilot_1069,5
gpt-5-mini,social_chem_101,pilot_1070,4
gpt-5-mini,social_chem_101,pilot_1071,4
gpt-5-mini,social_chem_101,pilot_1072,4
gpt-5-mini,social_chem_101,pilot_1073,5
gpt-5-mini,social_chem_101,pilot_1074,5
gpt-5-mini,social_chem_101,pilot_1075,5
gpt-5-mini,social_chem_101,pilot_1076,5
gpt-5-mini,social_chem_101,pilot_1077,5
gpt-5-mini,social_chem_101,pilot_1078,5
gpt-5-mini,social_chem_101,pilot_1079,4
gpt-5-mini,social_chem_101,pilot_1080,4
gpt-5-mini,social_chem_101,pilot_1081,5
gpt-5-mini,social_chem_101,pilot_1082,5
gpt-5-mini,social_chem_101,pilot_1083,5
gpt-5-mini,social_chem_101,pilot_1084,4
gpt-5-mini,social_chem_101,pilot_1085,4
gpt-5-mini,social_chem_101,pilot_1086,4
gpt-5-mini,social_chem_101,pilot_1087,4
gpt-5-mini,social_chem_101,pilot_1088,5
gpt-5-mini,social_chem_101,pilot_1089,4
gpt-5-mini,social_chem_101,pilot_1090,5
gpt-5-mini,social_chem_101,pilot_1091,5
gpt-5-mini,social_chem_101,pilot_1092,5
gpt-5-mini,social_chem_101,pilot_1093,5
gpt-5-mini,social_chem_101,pilot_1094,4
gpt-5-mini,social_chem_101,pilot_1095,4
gpt-5-mini,social_chem_101,pilot_1096,4
gpt-5-mini,social_chem_101,pilot_1097,5
gpt-5-mini,social_chem_101,pilot_1098,4
gpt-5-mini,social_chem_101,pilot_1099,5
o3-mini,ethics,pilot_0000,4
o3-mini,ethics,pilot_0001,4
o3-mini,ethics,pilot_0002,3
o3-mini,ethics,pilot_0003,4
o3-mini,ethics,pilot_0004,3
o3-mini,ethics,pilot_0005,4
o3-mini,ethics,pilot_0006,4
o3-mini,ethics,pilot_0007,3
o3-mini,ethics,pilot_0008,4
o3-mini,ethics,pilot_0009,4
o3-mini,ethics,pilot_0010,4
o3-mini,ethics,pilot_0011,4
o3-mini,ethics,pilot_0012,4
o3-mini,ethics,pilot_0013,4
o3-mini,ethics,pilot_0014,4
o3-mini,ethics,pilot_0015,4
o3-mini,ethics,pilot_0016,4
o3-mini,ethics,pilot_0017,4
o3-mini,ethics,pilot_0018,4
o3-mini,ethics,pilot_0019,3
o3-mini,ethics,pilot_0020,4
o3-mini,ethics,pilot_0021,3
o3-mini,ethics,pilot_0022,4
o3-mini,ethics,pilot_0023,3
o3-mini,ethics,pilot_0024,4
o3-mini,ethics,pilot_0025,4
o3-mini,ethics,pilot_0026,4
o3-mini,ethics,pilot_0027,3
o3-mini,ethics,pilot_0028,3
o3-mini,ethics,pilot_0029,3
o3-mini,ethics,pilot_0030,4
o3-mini,ethics,pilot_0031,3
o3-mini,ethics,pilot_0032,3
o3-mini,ethics,pilot_0033,3
o3-mini,ethics,pilot_0034,3
o3-mini,ethics,pilot_0035,3
o3-mini,ethics,pilot_0036,4
o3-mini,ethics,pilot_0037,4
o3-mini,ethics,pilot_0038,4
